Press,Covg
1e-10,0.04632961554200143
1e-09,0.09111097108348479
1e-08,0.12199639295779079
1e-07,0.14321614756921308
1e-06,0.1554254571612668
1e-05,0.16332515618287963
0.0001,0.170388884491328
0.0005,0.17540673396325
0.002,0.18001614541672184
0.005,0.18429132770723244
0.01,0.18885611258776566
0.125,0.20898624107063518
0.25,0.21740851219837365
0.5,0.22547926769486407
1.0,0.23441984355789589
1.5,0.23977459834059298
2.0,0.24227527764816645
2.5,0.24497760830963283
3.5,0.2497369563687809
4.5,0.2528874332959309
6.0,0.25438593141284893
7.5,0.2586674785954472
9.0,0.25928190766694
10.5,0.26101916156549493
12.0,0.26142550206268717
14.0,0.2641145966417444
16.0,0.2659949882839689
18.0,0.2678285111753606
